APT_ICAO,date,APT_NAME,STATE_NAME,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1,DLY_APT_ARR_1,FLT_ARR_1_DLY,FLT_ARR_1_DLY_15,DLY_APT_ARR_W_1,DLY_APT_ARR_D_1,type,latitude_deg,longitude_deg,elevation_ft,iso_country,iso_region,municipality,scheduled_service,year,month,month_name,day_of_week,is_weekend,quarter,season,delay_per_arr,pct_arr_delayed,pct_arr_delayed_15,weather_delay_min,weather_share,delay_level,is_outlier,month_start
LOWW,2023-01-01,Vienna,Austria,252,221,473,0,0,0,0,0,large_airport,48.110298,16.5697,600.0,AT,AT-9,Vienna,yes,2023,1,Jan,Sunday,True,1,Winter,0.0,0.0,0.0,0,0.0,Low,False,2023-01-01
EBBR,2023-01-01,Brussels,Belgium,183,172,355,0,0,0,0,0,large_airport,50.901402,4.48444,175.0,BE,BE-VBR,Zaventem,yes,2023,1,Jan,Sunday,True,1,Winter,0.0,0.0,0.0,0,0.0,Low,False,2023-01-01
EKCH,2023-01-01,Copenhagen - Kastrup,Denmark,246,238,484,0,0,0,0,0,large_airport,55.617900848389,12.656000137329,17.0,DK,DK-84,Copenhagen,yes,2023,1,Jan,Sunday,True,1,Winter,0.0,0.0,0.0,0,0.0,Low,False,2023-01-01
EIDW,2023-01-01,Dublin,Ireland,292,283,575,0,0,0,0,0,large_airport,53.428713,-6.262121,242.0,IE,IE-D,Dublin,yes,2023,1,Jan,Sunday,True,1,Winter,0.0,0.0,0.0,0,0.0,Low,False,2023-01-01
LPPT,2023-01-01,Lisbon,Portugal,299,290,589,1012,70,25,852,0,large_airport,38.7813,-9.13592,374.0,PT,PT-11,Lisbon,yes,2023,1,Jan,Sunday,True,1,Winter,3.489655172413793,0.2413793103448276,0.08620689655172414,852,0.841897233201581,Medium,False,2023-01-01
LOWW,2023-01-02,Vienna,Austria,285,291,576,421,31,10,421,0,large_airport,48.110298,16.5697,600.0,AT,AT-9,Vienna,yes,2023,1,Jan,Monday,False,1,Winter,1.4467353951890034,0.10652920962199312,0.03436426116838488,421,1.0,Medium,False,2023-01-01
EBBR,2023-01-02,Brussels,Belgium,205,212,417,0,0,0,0,0,large_airport,50.901402,4.48444,175.0,BE,BE-VBR,Zaventem,yes,2023,1,Jan,Monday,False,1,Winter,0.0,0.0,0.0,0,0.0,Low,False,2023-01-01
EKCH,2023-01-02,Copenhagen - Kastrup,Denmark,295,288,583,0,0,0,0,0,large_airport,55.617900848389,12.656000137329,17.0,DK,DK-84,Copenhagen,yes,2023,1,Jan,Monday,False,1,Winter,0.0,0.0,0.0,0,0.0,Low,False,2023-01-01
EIDW,2023-01-02,Dublin,Ireland,290,290,580,0,0,0,0,0,large_airport,53.428713,-6.262121,242.0,IE,IE-D,Dublin,yes,2023,1,Jan,Monday,False,1,Winter,0.0,0.0,0.0,0,0.0,Low,False,2023-01-01
LPPT,2023-01-02,Lisbon,Portugal,312,325,637,2826,123,73,0,0,large_airport,38.7813,-9.13592,374.0,PT,PT-11,Lisbon,yes,2023,1,Jan,Monday,False,1,Winter,8.695384615384615,0.37846153846153846,0.2246153846153846,0,0.0,High,False,2023-01-01
LOWW,2023-01-03,Vienna,Austria,251,250,501,0,0,0,0,0,large_airport,48.110298,16.5697,600.0,AT,AT-9,Vienna,yes,2023,1,Jan,Tuesday,False,1,Winter,0.0,0.0,0.0,0,0.0,Low,False,2023-01-01
EBBR,2023-01-03,Brussels,Belgium,218,224,442,0,0,0,0,0,large_airport,50.901402,4.48444,175.0,BE,BE-VBR,Zaventem,yes,2023,1,Jan,Tuesday,False,1,Winter,0.0,0.0,0.0,0,0.0,Low,False,2023-01-01
EKCH,2023-01-03,Copenhagen - Kastrup,Denmark,251,251,502,0,0,0,0,0,large_airport,55.617900848389,12.656000137329,17.0,DK,DK-84,Copenhagen,yes,2023,1,Jan,Tuesday,False,1,Winter,0.0,0.0,0.0,0,0.0,Low,False,2023-01-01
EIDW,2023-01-03,Dublin,Ireland,297,303,600,0,0,0,0,0,large_airport,53.428713,-6.262121,242.0,IE,IE-D,Dublin,yes,2023,1,Jan,Tuesday,False,1,Winter,0.0,0.0,0.0,0,0.0,Low,False,2023-01-01
LPPT,2023-01-03,Lisbon,Portugal,288,288,576,10,1,0,0,0,large_airport,38.7813,-9.13592,374.0,PT,PT-11,Lisbon,yes,2023,1,Jan,Tuesday,False,1,Winter,0.034722222222222224,0.003472222222222222,0.0,0,0.0,Low,False,2023-01-01
LOWW,2023-01-04,Vienna,Austria,269,269,538,0,0,0,0,0,large_airport,48.110298,16.5697,600.0,AT,AT-9,Vienna,yes,2023,1,Jan,Wednesday,False,1,Winter,0.0,0.0,0.0,0,0.0,Low,False,2023-01-01
EBBR,2023-01-04,Brussels,Belgium,214,215,429,0,0,0,0,0,large_airport,50.901402,4.48444,175.0,BE,BE-VBR,Zaventem,yes,2023,1,Jan,Wednesday,False,1,Winter,0.0,0.0,0.0,0,0.0,Low,False,2023-01-01
EKCH,2023-01-04,Copenhagen - Kastrup,Denmark,262,263,525,0,0,0,0,0,large_airport,55.617900848389,12.656000137329,17.0,DK,DK-84,Copenhagen,yes,2023,1,Jan,Wednesday,False,1,Winter,0.0,0.0,0.0,0,0.0,Low,False,2023-01-01
EIDW,2023-01-04,Dublin,Ireland,296,300,596,0,0,0,0,0,large_airport,53.428713,-6.262121,242.0,IE,IE-D,Dublin,yes,2023,1,Jan,Wednesday,False,1,Winter,0.0,0.0,0.0,0,0.0,Low,False,2023-01-01
LPPT,2023-01-04,Lisbon,Portugal,294,281,575,180,13,4,0,0,large_airport,38.7813,-9.13592,374.0,PT,PT-11,Lisbon,yes,2023,1,Jan,Wednesday,False,1,Winter,0.6405693950177936,0.046263345195729534,0.014234875444839857,0,0.0,Low,False,2023-01-01
LOWW,2023-01-05,Vienna,Austria,264,261,525,0,0,0,0,0,large_airport,48.110298,16.5697,600.0,AT,AT-9,Vienna,yes,2023,1,Jan,Thursday,False,1,Winter,0.0,0.0,0.0,0,0.0,Low,False,2023-01-01
EBBR,2023-01-05,Brussels,Belgium,230,223,453,0,0,0,0,0,large_airport,50.901402,4.48444,175.0,BE,BE-VBR,Zaventem,yes,2023,1,Jan,Thursday,False,1,Winter,0.0,0.0,0.0,0,0.0,Low,False,2023-01-01
EKCH,2023-01-05,Copenhagen - Kastrup,Denmark,260,254,514,0,0,0,0,0,large_airport,55.617900848389,12.656000137329,17.0,DK,DK-84,Copenhagen,yes,2023,1,Jan,Thursday,False,1,Winter,0.0,0.0,0.0,0,0.0,Low,False,2023-01-01
EIDW,2023-01-05,Dublin,Ireland,303,304,607,0,0,0,0,0,large_airport,53.428713,-6.262121,242.0,IE,IE-D,Dublin,yes,2023,1,Jan,Thursday,False,1,Winter,0.0,0.0,0.0,0,0.0,Low,False,2023-01-01
LPPT,2023-01-05,Lisbon,Portugal,287,289,576,821,71,19,0,0,large_airport,38.7813,-9.13592,374.0,PT,PT-11,Lisbon,yes,2023,1,Jan,Thursday,False,1,Winter,2.8408304498269894,0.24567474048442905,0.0657439446366782,0,0.0,Medium,False,2023-01-01
LOWW,2023-01-06,Vienna,Austria,295,298,593,0,0,0,0,0,large_airport,48.110298,16.5697,600.0,AT,AT-9,Vienna,yes,2023,1,Jan,Friday,False,1,Winter,0.0,0.0,0.0,0,0.0,Low,False,2023-01-01
EBBR,2023-01-06,Brussels,Belgium,232,230,462,37,7,0,0,0,large_airport,50.901402,4.48444,175.0,BE,BE-VBR,Zaventem,yes,2023,1,Jan,Friday,False,1,Winter,0.1608695652173913,0.030434782608695653,0.0,0,0.0,Low,False,2023-01-01
EKCH,2023-01-06,Copenhagen - Kastrup,Denmark,266,278,544,0,0,0,0,0,large_airport,55.617900848389,12.656000137329,17.0,DK,DK-84,Copenhagen,yes,2023,1,Jan,Friday,False,1,Winter,0.0,0.0,0.0,0,0.0,Low,False,2023-01-01
EIDW,2023-01-06,Dublin,Ireland,332,327,659,0,0,0,0,0,large_airport,53.428713,-6.262121,242.0,IE,IE-D,Dublin,yes,2023,1,Jan,Friday,False,1,Winter,0.0,0.0,0.0,0,0.0,Low,False,2023-01-01
LPPT,2023-01-06,Lisbon,Portugal,318,316,634,4327,153,92,4327,0,large_airport,38.7813,-9.13592,374.0,PT,PT-11,Lisbon,yes,2023,1,Jan,Friday,False,1,Winter,13.693037974683545,0.48417721518987344,0.2911392405063291,4327,1.0,High,True,2023-01-01
